address,bathrooms,bedrooms,build_up_m2,contract,date_posted,district,location,lot_size_m2,parcel_type,pool,property_type,price
Cunucu Abou ,2.0,2.0,0.0,sale,2020-12-16 11:59:07+00:00,Oranjestad West,Pos Abou/Cunucu Abou,0.0,,False,house,606779.5700000001
Alto Vista z/n,3.0,4.0,234.0,sale,2020-12-16 11:59:07+00:00,Noord/Tanki Leendert,Alto Vista,611.0,freehold,True,house,703931.8200000001
Esmeralda ,3.0,3.0,0.0,sale,2020-12-16 11:59:04+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,707.0,,False,house,1206460.0
Perustraat ,2.0,3.0,130.0,sale,2020-12-16 11:59:04+00:00,Oranjestad West,Socotoro/Rancho,294.0,,False,house,305834.03
Picaron 8 C,2.0,3.0,0.0,sale,2020-12-16 11:59:04+00:00,Santa Cruz,Urataca,154.0,freehold,False,house,313250.0
Jaburibari 32 E,2.0,4.0,154.0,sale,2020-12-16 11:59:02+00:00,Paradera,Ayo,983.0,,False,house,367050.24
Balashi ,1.0,2.0,0.0,rent,2020-12-10 18:10:36+00:00,Santa Cruz,Balashi/Barcadera,0.0,,False,,1208.25
Cumana 78 J,1.0,1.0,0.0,rent,2020-12-10 18:07:43+00:00,Oranjestad Oost,Sero Blanco/Cumana,0.0,,False,,1306.7
Palma Real 29,2.0,3.0,0.0,sale,2020-12-10 18:05:01+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,581750.0
Cudawecha 2,1.0,2.0,0.0,rent,2020-12-10 18:02:51+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,,False,apartment,1507.18
Coribori ,5.0,5.0,399.0,sale,2020-12-10 01:59:58+00:00,Paradera,Ayo,1396.0,leasehold,False,house,354930.15
Gasparito 7 D,1.0,1.0,40.0,rent,2020-12-10 00:04:40+00:00,Noord/Tanki Leendert,Washington,0.0,,False,apartment,1507.18
Balashi 2,1.0,2.0,0.0,rent,2020-12-09 21:11:31+00:00,Santa Cruz,Balashi/Barcadera,0.0,,False,,1208.25
J.E. Irausquin Boulevard 268,3.0,3.0,0.0,rent,2020-12-09 06:03:13+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,,8771.0
Paradera 115 U,1.0,2.0,85.0,rent,2020-12-09 05:56:23+00:00,Paradera,Paradera,250.0,,False,condominium,1508.97
Rooi Master 5 Q,2.0,2.0,209.0,sale,2020-12-08 17:00:23+00:00,San Nicolas Noord,Brasil,703.0,freehold,False,,527949.76
Turibana 1,1.0,1.0,0.0,rent,2020-12-08 16:03:08+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,True,apartment,1056.1
Noord 166,1.0,2.0,0.0,rent,2020-12-08 16:03:05+00:00,Noord/Tanki Leendert,Washington,0.0,,True,apartment,1408.73
Noord ,2.0,2.0,0.0,rent,2020-12-08 15:59:56+00:00,Noord/Tanki Leendert,Washington,0.0,,False,house,1686.18
Catiri 3,1.0,3.0,62.0,sale,2020-12-08 15:05:22+00:00,Noord/Tanki Leendert,Tanki Leendert,413.0,freehold,False,house,230287.08000000002
Sero Biento 23,2.0,2.0,152.0,rent,2020-12-08 15:05:21+00:00,Santa Cruz,Hooiberg,479.0,,False,house,2815.67
Casibari 81,2.0,3.0,135.0,sale,2020-12-08 02:02:20+00:00,Paradera,Paradera,569.0,,False,house,401241.03
Nuña ,1.0,1.0,0.0,rent,2020-12-07 22:08:18+00:00,Paradera,Shiribana,0.0,,False,apartment,1005.98
Tanki Leendert 95 G,3.0,4.0,193.0,sale,2020-12-07 22:03:18+00:00,Noord/Tanki Leendert,Tanki Leendert,949.0,freehold,False,,652646.53
Sabana Liber 218,4.0,4.0,171.0,sale,2020-12-07 22:02:21+00:00,Noord/Tanki Leendert,Alto Vista,369.0,freehold,False,house,519100.0
Matadera 16 K,1.0,2.0,98.0,rent,2020-12-07 21:56:32+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,400.0,,False,house,1911.72
Palm Beach 392,2.0,3.0,186.0,rent,2020-12-07 21:56:25+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,647.0,,False,house,2615.19
Saliña Cerca 23 H,9.0,8.0,525.0,sale,2020-12-07 16:07:02+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,1136.0,,True,,1459745.0
Saliña Cerca 23 H,9.0,8.0,525.0,sale,2020-12-07 16:07:02+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,1136.0,,True,,1459745.0
Janana 3,1.0,1.0,0.0,rent,2020-12-07 16:02:45+00:00,Oranjestad Oost,Sero Blanco/Cumana,0.0,,False,apartment,803.71
Juwana Mortostraat ,2.0,4.0,145.0,sale,2020-12-07 15:58:29+00:00,San Nicolas Noord,Juwana Morto,524.0,leasehold,False,house,291514.03
Engelandstraat 17,3.0,4.0,210.0,sale,2020-12-07 15:02:31+00:00,Oranjestad West,Eagle/Paardenbaai,1064.0,,True,house,850250.0
Paradera 117 G,2.0,3.0,120.0,sale,2020-12-07 00:01:57+00:00,Paradera,Paradera,519.0,freehold,True,house,481689.0
Calbas 42,3.0,3.0,145.0,sale,2020-12-06 01:02:11+00:00,Noord/Tanki Leendert,Alto Vista,338.0,,True,house,429600.0
De Vuyst 141,2.0,4.0,233.0,sale,2020-12-05 18:58:23+00:00,San Nicolas Noord,Juwana Morto,640.0,leasehold,False,house,307369.85000000003
J.E. Irausquin Boulevard 268,2.0,3.0,115.0,sale,2020-12-04 20:56:19+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,335.0,,True,house,884260.0
Saliña 7 H,1.0,2.0,152.0,sale,2020-12-04 17:55:51+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,858.0,freehold,False,house,240343.30000000002
Kamay ,1.0,0.0,0.0,rent,2020-12-04 17:10:15+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,,728.53
Kamay ,0.0,0.0,0.0,rent,2020-12-04 17:09:02+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,,805.5
Jucuri ,0.0,0.0,0.0,rent,2020-12-04 17:04:33+00:00,Santa Cruz,Papilon,0.0,,False,,2148.0
Monte Verde 57,2.0,2.0,148.0,sale,2020-12-04 14:04:27+00:00,Santa Cruz,Hooiberg,543.0,,False,house,451080.0
Cudawecha ,1.0,1.0,0.0,rent,2020-12-03 21:10:27+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,,True,apartment,1346.08
Jaburibari ,1.0,2.0,0.0,sale,2020-12-03 21:09:12+00:00,Paradera,Ayo,0.0,,False,house,206152.51
Wayaca ,0.0,0.0,0.0,rent,2020-12-03 21:04:40+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,0.0,,False,,1738.0900000000001
Tanki Leendert 174,0.0,0.0,69.0,rent,2020-12-03 16:08:27+00:00,Noord/Tanki Leendert,Tanki Leendert,69.0,,False,,1521.5
Diamante 37,2.5,2.0,0.0,rent,2020-12-03 16:08:17+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,,3222.0
Tanki Leendert 211,1.0,2.0,0.0,rent,2020-12-03 16:08:09+00:00,Noord/Tanki Leendert,Tanki Leendert,0.0,,False,,2013.75
